Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,25.0,DAL,NBA,SF,10,0,6.2,0.7,2.1,.333,0.0,0.0,,0.7,2.1,.333,.333,1.2,1.4,.857,0.4,0.8,1.2,0.6,0.2,0.2,0.6,0.7,2.6
1990-91,26.0,"Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)","Did Not Play (other pro league—CBA, Spain)"
1991-92,27.0,DET,NBA,SF,26,0,5.0,0.5,1.3,.394,0.0,0.0,.000,0.5,1.2,.406,.394,0.2,0.5,.308,0.5,0.7,1.2,0.2,0.2,0.2,0.3,0.9,1.2
1992-93,28.0,MIN,NBA,SF,79,7,19.4,2.5,5.2,.488,0.0,0.0,.000,2.5,5.2,.490,.488,1.2,1.9,.625,1.2,2.4,3.6,0.9,0.6,0.7,1.0,2.6,6.3
1993-94,29.0,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1994-95,30.0,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1995-96,31.0,WSB,NBA,PF,62,0,10.5,1.2,2.5,.497,0.0,0.0,.500,1.2,2.4,.497,.500,0.6,1.2,.473,0.7,1.6,2.3,0.4,0.3,0.2,0.7,1.9,3.0
1996-97,32.0,Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France)
1997-98,33.0,TOR,NBA,SF,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Career,,,NBA,,178,7,13.4,1.7,3.5,.479,0.0,0.0,.200,1.7,3.4,.481,.480,0.8,1.4,.577,0.9,1.8,2.6,0.6,0.4,0.4,0.8,2.0,4.2
