Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,22.0,BOS,NBA,SF,80,,27.5,6.0,13.6,0.445,2.2,3.0,0.728,,,6.7,2.2,,,,2.4,14.3
1963-64,23.0,BOS,NBA,SF,80,,32.3,8.0,19.2,0.417,3.9,5.3,0.746,,,5.4,3.0,,,,2.8,19.9
1964-65,24.0,BOS,NBA,SG,75,,28.9,7.6,18.9,0.401,3.1,4.2,0.744,,,4.9,2.7,,,,2.7,18.3
1965-66,25.0,BOS,NBA,SF,71,,30.6,7.5,18.7,0.399,3.9,4.9,0.785,,,6.0,3.0,,,,2.2,18.8
1966-67,26.0,BOS,NBA,SF,81,,32.1,8.4,19.0,0.444,4.5,5.4,0.828,,,6.6,3.4,,,,2.6,21.4
1967-68,27.0,BOS,NBA,SG,82,,35.6,8.1,18.9,0.429,4.5,5.5,0.812,,,6.7,4.7,,,,2.9,20.7
1968-69,28.0,BOS,NBA,SG,82,,38.7,8.4,20.8,0.405,4.7,6.0,0.78,,,7.0,5.4,,,,3.0,21.6
1969-70,29.0,BOS,NBA,SG,81,,41.6,9.1,19.6,0.464,6.0,7.1,0.844,,,7.8,6.8,,,,2.6,24.2
1970-71,30.0,BOS,NBA,SF,81,,45.4,11.0,24.5,0.45,6.8,8.4,0.818,,,9.0,7.5,,,,2.5,28.9
1971-72,31.0,BOS,NBA,SF,82,,45.1,10.9,23.9,0.458,5.6,6.7,0.834,,,8.2,7.5,,,,2.2,27.5
1972-73,32.0,BOS,NBA,SF,80,,42.1,9.6,21.3,0.45,4.6,5.4,0.858,,,7.1,6.6,,,,2.4,23.8
1973-74,33.0,BOS,NBA,SF,76,,40.7,9.0,19.8,0.456,4.6,5.5,0.832,1.8,4.6,6.4,5.9,1.3,0.4,,2.6,22.6
1974-75,34.0,BOS,NBA,SF,82,,38.2,7.8,17.2,0.455,3.5,4.0,0.87,1.9,4.0,5.9,5.3,1.3,0.2,,2.8,19.2
1975-76,35.0,BOS,NBA,SF,76,,34.2,6.6,14.8,0.45,3.7,4.4,0.844,1.5,2.6,4.1,3.7,1.3,0.4,,2.7,17.0
1976-77,36.0,BOS,NBA,SF,79,,36.9,7.3,16.2,0.452,3.0,3.6,0.816,1.4,3.5,4.8,5.1,1.1,0.2,,2.6,17.7
1977-78,37.0,BOS,NBA,SF,82,,34.1,6.7,14.8,0.449,2.8,3.3,0.855,1.1,2.9,4.0,4.0,1.1,0.3,2.5,2.3,16.1
Career,,,NBA,,1270,,36.6,8.3,18.8,0.439,4.2,5.2,0.815,1.5,3.5,6.3,4.8,1.2,0.3,2.5,2.6,20.8
