Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,23.0,MIA,NBA,SG,72,28,21.0,2.9,7.9,.362,0.7,2.4,.292,2.2,5.6,.392,.406,1.1,1.4,.731,0.4,2.2,2.6,1.3,0.3,0.6,1.1,1.5,7.5
2003-04,24.0,MIA,NBA,SF,45,0,15.0,2.6,5.6,.476,1.1,2.4,.463,1.5,3.2,.486,.576,0.4,0.5,.762,0.1,1.3,1.4,0.5,0.2,0.3,0.6,1.6,6.8
2004-05,25.0,MIA,NBA,SF,65,15,18.5,2.5,6.3,.399,0.9,2.4,.373,1.6,3.9,.414,.468,0.6,0.7,.771,0.2,2.1,2.3,1.0,0.3,0.4,0.6,1.6,6.5
2005-06,26.0,NOK,NBA,SF,79,20,23.7,3.3,8.0,.406,1.2,3.1,.380,2.1,4.9,.422,.479,1.0,1.4,.693,0.6,2.3,2.9,0.5,0.4,0.6,0.8,1.8,8.7
2006-07,27.0,NOK,NBA,SF,81,38,27.4,3.9,9.7,.398,1.7,4.5,.369,2.2,5.2,.424,.484,0.7,1.1,.644,0.5,2.6,3.2,0.8,0.5,0.7,0.8,1.8,10.1
2007-08,28.0,NOH,NBA,SF,51,8,17.2,1.8,5.1,.350,0.9,2.6,.331,0.9,2.5,.370,.435,0.5,0.6,.839,0.3,1.6,2.0,0.7,0.3,0.4,0.2,1.3,4.9
2008-09,29.0,NOH,NBA,SF,82,74,31.9,4.2,9.8,.433,1.7,4.4,.390,2.5,5.4,.468,.521,1.0,1.3,.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2
2009-10,30.0,LAC,NBA,SF,82,64,33.0,4.3,10.6,.409,1.8,5.3,.336,2.6,5.3,.482,.493,1.5,1.8,.841,0.5,2.5,2.9,1.4,0.4,0.8,1.0,1.5,11.9
2010-11,31.0,TOT,NBA,SG,47,2,16.4,1.7,5.0,.333,1.0,2.9,.338,0.7,2.1,.327,.430,0.4,0.6,.667,0.2,1.4,1.6,0.6,0.2,0.3,0.5,0.8,4.7
2010-11,31.0,LAC,NBA,SG,41,2,18.1,1.8,5.5,.323,1.0,3.1,.326,0.8,2.4,.320,.416,0.4,0.7,.667,0.2,1.6,1.9,0.7,0.2,0.4,0.5,0.8,5.0
2010-11,31.0,CHI,NBA,SG,6,0,4.3,1.0,1.8,.545,0.7,1.2,.571,0.3,0.7,.500,.727,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.5,2.7
2011-12,32.0,TOR,NBA,SF,34,14,13.3,1.2,3.9,.308,0.6,2.3,.273,0.6,1.6,.357,.387,0.2,0.4,.583,0.2,1.8,1.9,0.6,0.2,0.1,0.4,1.1,3.2
2012-13,33.0,Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League),Did Not Play (other pro leage—D-League)
2013-14,34.0,IND,NBA,SG,50,2,7.6,1.0,2.2,.464,0.5,1.2,.419,0.5,1.0,.521,.582,0.2,0.3,.571,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7
2014-15,35.0,WAS,NBA,SF,75,1,20.1,2.9,6.9,.422,1.2,3.1,.387,1.7,3.8,.450,.510,0.7,0.9,.791,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7
2015-16,36.0,SAS,NBA,SF,46,0,9.4,1.1,2.3,.471,0.3,1.1,.306,0.7,1.2,.618,.543,0.2,0.3,.688,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,2.7
Career,,,NBA,,809,266,21.3,2.8,7.0,.403,1.1,3.1,.362,1.7,3.9,.437,.483,0.7,1.0,.747,0.4,2.0,2.4,0.8,0.4,0.5,0.7,1.4,7.5
