Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,19.0,DET,NBA,SF,73.0,6.0,23.1,3.1,8.2,0.375,0.9,2.8,0.307,2.2,5.4,0.41,0.428,1.1,1.4,0.784,0.8,3.4,4.2,1.6,0.8,0.2,1.6,2.4,8.1
2016-17,20.0,DET,NBA,SF,77.0,1.0,17.8,1.7,4.7,0.353,0.6,2.0,0.292,1.1,2.7,0.398,0.415,0.5,0.7,0.679,0.5,2.0,2.5,1.4,0.7,0.3,0.9,1.6,4.4
2017-18,21.0,DET,NBA,SF,69.0,50.0,27.4,3.0,8.1,0.375,1.0,3.4,0.286,2.1,4.7,0.439,0.435,1.6,2.1,0.772,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,8.7
2018-19,22.0,TOT,NBA,SF,66.0,7.0,18.3,2.6,6.7,0.389,0.9,3.3,0.288,1.7,3.4,0.484,0.459,0.8,1.0,0.781,0.5,2.8,3.3,1.3,0.9,0.2,1.2,1.7,6.9
2018-19,22.0,DET,NBA,SF,48.0,7.0,20.0,2.8,7.3,0.381,1.1,3.8,0.282,1.7,3.5,0.488,0.454,0.9,1.1,0.804,0.5,3.1,3.6,1.3,1.0,0.3,1.1,1.9,7.5
2018-19,22.0,NOP,NBA,SF,18.0,0.0,13.7,2.1,5.1,0.418,0.6,1.9,0.324,1.5,3.2,0.474,0.478,0.5,0.7,0.692,0.5,1.8,2.3,1.6,0.7,0.1,1.4,1.2,5.3
2019-20,23.0,TOR,NBA,PF,25.0,0.0,6.0,0.9,2.4,0.373,0.3,1.0,0.292,0.6,1.4,0.429,0.432,0.4,0.6,0.563,0.3,1.2,1.5,0.8,0.2,0.2,0.6,0.6,2.4
2020-21,24.0,TOR,NBA,PF,61.0,13.0,16.5,1.5,3.8,0.382,0.7,2.2,0.328,0.7,1.6,0.458,0.479,0.7,0.9,0.8,0.5,2.0,2.5,1.5,0.9,0.3,0.9,1.9,4.4
2021-22,25.0,LAL,NBA,PF,48.0,27.0,22.8,2.4,5.2,0.466,0.7,2.2,0.314,1.8,3.0,0.575,0.532,1.1,1.5,0.716,0.7,2.5,3.2,1.7,0.9,0.3,0.7,2.3,6.7
2022-23,26.0,SAS,NBA,SF,30.0,0.0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8
Career,,,NBA,,449.0,104.0,19.8,2.3,5.9,0.391,0.8,2.5,0.305,1.5,3.4,0.454,0.456,0.9,1.2,0.748,0.6,2.6,3.1,1.5,0.9,0.2,1.1,1.9,6.2
