NBA Team Name,Color 1,Color 2,Color 3,Color 4,Color 5
Atlanta Hawks,Hawks Red #E03A3E,Volt Green #C1D32F,Hawks Charcoal #26282A,,
Boston Celtics,Celtics Green #007A33,Celtics Gold #BA9653,Celtics Brown #963821,White #FFFFFF,Celtics Black #000000
Brooklyn Nets,Black #000000,White #FFFFFF,,,
Charlotte Hornets,Hornets Purple #1D1160,Teal #00788C,Gray #A1A1A4,,
Chicago Bulls,Bulls Red #CE1141,Black #000000,,,
Cleveland Cavaliers,Cavaliers Wine #860038,Cavaliers Navy #041E42,Cavaliers Gold #FDBB30,Cavaliers Black #000000,
Dallas Mavericks,Royal Blue #00538C,Navy Blue #002B5E,Silver #B8C4CA,Black #000000,
Denver Nuggets,Midnight Blue #0E2240,Sunshine Yellow #FEC524,Flatirons Red #8B2131,Skyline Blue #1D428A,
Detroit Pistons,Red #C8102E,Royal #1D42BA,Gray #BEC0C2,Navy #002D62,
Golden State Warriors,Warriors Blue #1D428A,Golden Yellow #FFC72C,,,
Houston Rockets,Red #CE1141,Black #000000,Silver #C4CED4,,
Indiana Pacers,Pacers Blue #002D62,Yellow #FDBB30,Silver #BEC0C2,,
Los Angeles Clippers,Red #C8102E,Blue #1D428A,Silver #BEC0C2,Black #000000,
Los Angeles Lakers,Lakers Purple #552583,Gold #FDB927,Black #000000,,
Memphis Grizzlies,Blue #5D76A9,Navy #12173F,Yellow #F5B112,Gray #707271,
Miami Heat,Red #98002E,Yellow #F9A01B,Black #000000,,
Milwaukee Bucks,Good Land Green #00471B,Cream City Cream #EEE1C6,Great Lakes Blue #0077C0,Black #000000,
Minnesota Timberwolves,Midnight Blue #0C2340,Lake Blue #236192,Moonlight Grey #9EA2A2,Aurora Green #78BE20,
New Orleans Pelicans,Pelicans Navy #0C2340,Pelicans Red #C8102E,Pelicans Gold #85714D,,
New York Knicks,Knicks Blue #006BB6,Knicks Orange #F58426,Knicks Silver #BEC0C2,Knicks Black #000000,
Oklahoma City Thunder,Thunder Blue #007AC1,Sunset #EF3B24,Blue #002D62,Yellow #FDBB30,
Orlando Magic,Magic Blue #0077C0,Silver #C4CED4,Black #000000,,
Philadelphia 76ers,Blue #006BB6,Red #ED174C,Navy #002B5C,Silver #C4CED4,
Phoenix Suns,Purple #1D1160,Orange #E56020,Black #000000,Gray #63727A,Yellow #F9AD1B
Portland Trail Blazers,Red #E03A3E,Black #000000,,,
Sacramento Kings,Purple #5A2D81,Gray #63727A,Black #000000,,
San Antonio Spurs,Silver #C4CED4,Black #000000,,,
Toronto Raptors,Red #CE1141,Black #000000,Silver #A1A1A4,Gold #B4975A,
Utah Jazz,Navy #002B5C,Green #00471B,Yellow #F9A01B,,
Washington Wizards,Navy Blue #002B5C,Red #E31837,Silver #C4CED4,,
